Cod_Cliente,Max_Valor,Mediana_Valor,Media_Valor,Std_Valor,Num_Transacciones,Hora_Mas_Frecuente,Dia_Semana_Mas_Frecuente,Mes_Mas_Frecuente,Num_PAGO_TARJETA_CREDITO,Num_REMESAS,Num_TRANSFER_BANCOS,Num_TRANSFER_EXTERNAS,Num_TRANSFER_INTERNACIONAL,Num_TRANSFER_INTERNAS
1598702,500.0,351.04499999999996,319.52,191.58030023038285,12,28080,5,4,0,0,12,0,0,0
1598703,1700.0,300.0,299.85185185185185,351.360838379064,27,21810,3,8,0,0,26,0,0,1
1598704,460.0,117.5,192.5,189.36076679185686,6,25776,3,11,2,0,3,0,0,1
1598705,2300.0,200.0,415.8024203821656,478.04654927350873,157,27809,5,7,25,0,85,27,0,20
1598706,10.0,10.0,10.0,,1,77805,6,12,0,0,1,0,0,0
1598707,5370.0,264.78,534.9066483516483,733.6684083782267,182,26635,4,1,12,0,170,0,0,0
1598708,400.0,110.0,145.83333333333334,140.22897941105705,6,32710,3,12,0,0,6,0,0,0
1598709,1000.0,100.0,166.257037037037,181.99698197795126,108,37659,2,3,16,0,90,0,0,2
1598710,1000.0,250.0,380.0,429.2629341868066,4,28315,4,11,0,0,2,0,0,2
1598711,1500.0,833.95,833.3625,507.06916388623534,8,33775,5,11,0,0,1,0,0,7
1598712,1169.0,127.5,238.3470408163265,267.4199124208857,98,30605,2,12,0,0,98,0,0,0
1598713,10000.0,810.0,1361.748988235294,1579.9992880232342,425,42548,6,12,0,0,188,0,0,237
1598714,1327.65,815.0,661.9518181818182,454.91268759660204,11,36493,3,10,0,0,4,0,7,0
1598715,950.0,751.0,620.0,399.0308258768989,6,41682,4,10,0,0,3,0,3,0
1598716,3300.0,1800.0,1800.0,2121.3203435596424,2,38264,5,5,0,0,1,0,1,0
1598717,500.0,50.0,198.0,261.55687717970636,3,37694,2,5,0,0,1,0,1,1
1598718,350.0,318.82,318.82,44.09517887479311,2,42327,4,11,0,0,1,0,1,0
1598719,4295.0,550.0,1338.174,1670.6508107261673,5,25820,2,11,0,0,3,0,2,0
1598720,950.0,900.0,577.356,465.24084266108883,5,9868,1,10,0,0,2,0,3,0
1598721,1534.0,675.0,745.692,543.4360669180585,20,17802,5,12,0,0,8,0,11,1
1598722,600.0,336.52,336.52,372.6169894140631,2,28873,2,5,0,0,1,0,1,0
1598723,1278.0,1139.0,891.4266666666666,525.7784669104153,6,36038,6,12,0,0,2,0,3,1
1598724,2488.25,785.0,1032.0625,1181.8877621380411,4,25623,5,10,0,0,2,0,2,0
1598725,1000.0,580.0,580.0,593.9696961966999,2,44389,2,3,0,0,1,0,1,0
1598726,1620.0,1310.0,827.61,698.8674201438077,14,33933,3,12,0,0,7,0,7,0
1598727,965.0,506.365,499.77875,485.4276334602159,8,30168,2,11,0,0,4,0,4,0
1598728,1000.0,515.25,512.125,563.372637928633,4,33323,4,5,0,0,2,0,2,0
1598729,500.0,73.32,206.61714285714285,215.44152971005732,7,35763,3,12,0,0,4,0,3,0
1598730,222.57,86.185,107.2425,75.49474092374155,8,38684,2,12,0,0,4,0,4,0
1598731,4500.0,2260.0,2260.0,3167.838379715733,2,42481,4,10,0,0,1,0,1,0
1598732,9000.0,1000.0,1397.3990909090908,2560.673105191112,11,30760,2,11,0,0,5,0,6,0
1598733,9000.0,200.0,2760.0,3599.1538357415807,7,30970,4,5,0,0,4,0,3,0
1598734,1060.0,512.5,519.6666666666666,552.1618120321856,6,40812,2,9,0,0,2,0,3,1
1598735,2000.0,1205.565,1102.6883333333333,990.6082489141036,6,46248,4,9,0,0,2,0,3,1
1598736,1676.0,1338.0,1338.0,478.0041840821061,2,55108,3,10,0,0,1,0,1,0
1598737,800.0,225.0,349.6666666666667,402.7410251431226,3,43344,6,10,0,0,0,0,1,2
1598738,230.0,190.0,190.0,56.568542494923804,2,54247,4,4,0,0,0,0,1,1
1598739,10000.0,590.0,2784.8541666666665,4369.221667812364,12,33298,3,12,0,0,0,0,6,6
1598740,2000.0,800.0,952.835,801.3384949659448,8,29932,3,10,0,0,2,0,4,2
1598741,2000.0,235.0,622.5,924.3511237619609,4,33076,1,4,0,0,2,0,2,0
1598742,5000.0,750.0,862.4285714285714,1262.7447341946288,14,26592,5,10,3,0,4,0,7,0
1598743,8000.0,4111.0,4111.0,5499.876544068967,2,65190,2,8,0,0,1,0,1,0
1598744,5000.0,2500.0,2513.5,2060.112213772185,4,22893,3,6,0,0,2,0,2,0
1598745,1902.93,977.715,977.715,1308.4516011110231,2,34471,3,6,0,0,1,0,1,0
1598746,200.0,126.25,126.25,104.29825022501576,2,31538,4,11,0,0,1,0,1,0
1598747,276.0,276.0,276.0,0.0,7,36878,2,12,0,0,0,0,7,0
1598748,1597.0,1597.0,1597.0,0.0,2,26599,1,9,0,0,0,0,2,0
1598749,550.0,500.0,508.3333333333333,20.412414523193142,6,45982,3,10,0,0,0,0,6,0
1598750,623.0,623.0,623.0,,1,62778,2,1,0,0,0,0,1,0
1598751,1300.0,1250.0,1216.6666666666667,104.08329997330664,3,28099,3,1,0,0,0,0,3,0
1598752,300.0,200.0,180.0,116.61903789690601,4,43325,4,2,0,0,0,0,2,2
1598753,8700.29,1506.24,3245.4244444444444,3759.5517798738697,9,29650,5,8,1,0,3,0,4,1
1598754,7000.0,2000.0,2433.3333333333335,2320.9193580705614,6,27145,2,6,0,0,3,0,3,0
1598755,4762.0,1625.0,2172.693,2071.0956585668478,10,33499,4,6,0,0,4,0,5,1
1598756,6351.41,950.0,1482.841,1945.5679455078864,10,31154,3,2,0,0,5,0,5,0
1598757,10000.0,3450.0,4266.25,4314.072660105144,4,29408,6,7,0,0,2,0,2,0
1598758,1000.0,775.0,583.54875,450.0925408827982,16,23797,5,3,0,0,8,0,8,0
1598759,1190.0,895.0,895.0,417.19300090006305,2,38941,2,7,0,0,1,0,1,0
1598760,900.0,617.5,658.75,195.29358241717347,4,8895,1,12,0,0,2,0,2,0
1598761,840.0,450.0,450.0,551.5432893255071,2,35534,2,7,0,0,1,0,1,0
1598762,400.0,380.0,348.3333333333333,74.40878084384038,6,43440,3,8,0,0,3,0,3,0
1598763,904.0,502.0,502.0,568.5138520739843,2,31639,2,12,0,0,1,0,1,0
1598764,1000.0,505.0,505.0,700.035713374682,2,33025,4,7,0,0,1,0,1,0
1598765,2000.0,1090.0,1072.5,969.3402160982771,12,26566,2,10,0,0,6,0,6,0
1598766,1000.0,550.0,545.0,525.4521862167861,4,33817,4,12,0,0,2,0,2,0
1598767,6717.85,30.0,146.82124183006536,561.6581775484092,153,31693,3,2,0,0,51,0,0,102
1598768,60.0,37.5,42.5,11.902380714238083,4,40132,6,12,0,0,4,0,0,0
1598769,10000.0,100.0,399.20737704918037,1296.3289807335452,61,16153,4,4,4,0,43,0,0,14
1598770,700.0,700.0,700.0,,1,61493,3,6,0,0,0,0,0,1
1598771,1800.0,175.0,263.0161016949153,343.1617031733644,118,47193,6,7,0,0,10,89,0,19
1598772,2800.0,100.0,200.52885714285713,388.8582785869479,105,30402,2,12,12,0,38,46,0,9
1598773,1800.0,1272.5,1336.25,382.8701912310925,4,55572,2,12,0,0,4,0,0,0
1598774,1000.0,131.0,192.3728828828829,180.2258672604886,111,30310,5,8,17,0,80,0,0,14
1598775,86.68,12.0,16.094444444444445,17.310963230848767,45,30088,3,9,0,0,2,0,0,43
1598776,10000.0,3429.5,3912.8333333333335,2178.262478270795,12,34270,2,6,0,0,12,0,0,0
1598777,10000.0,10000.0,10000.0,0.0,2,41372,3,4,0,0,2,0,0,0
1598778,1100.0,200.0,400.0,451.6082373030855,5,33467,3,9,0,0,5,0,0,0
1598779,10000.0,7000.0,6672.857142857143,2685.91830532076,7,39989,5,11,0,0,7,0,0,0
1598780,298.0,298.0,298.0,,1,36570,6,5,0,0,1,0,0,0
1598781,4450.5,500.0,906.9,1341.5639487446838,15,32463,3,8,0,0,11,0,0,4
1598782,761.0,468.75,468.75,413.303913603537,2,33009,2,5,0,0,2,0,0,0
1598783,1000.0,150.0,182.0,160.85342249828497,35,30402,4,5,19,0,16,0,0,0
1598784,1000.0,80.0,169.33986486486486,233.01515439866466,74,30957,6,7,21,0,48,0,0,5
1598785,100.0,95.0,95.0,7.0710678118654755,2,46764,6,10,0,0,1,0,0,1
1598786,1000.0,221.0,252.91232142857143,169.28841934285964,56,24962,3,3,13,0,16,9,0,18
1598787,500.0,170.0,191.25,169.11702510929578,12,35577,4,8,1,0,11,0,0,0
1598788,500.0,40.0,152.5,231.8584338197197,4,36772,5,8,0,0,4,0,0,0
1598789,2500.0,1000.0,1283.3333333333333,986.7454923467685,6,35130,2,4,0,0,6,0,0,0
1598790,1000.0,123.5,213.078125,205.87296855941952,32,31393,6,4,1,0,29,0,0,2
1598791,10000.0,91.0,671.04,1871.133217136504,82,41195,3,2,13,0,69,0,0,0
1598792,2600.0,1350.0,1350.0,1767.7669529663688,2,66545,4,7,0,0,2,0,0,0
1598793,2000.0,620.0,754.8571428571429,652.1736549343865,7,26852,2,5,0,0,7,0,0,0
1598794,4000.0,290.0,384.6705194805195,518.0743160338458,77,32419,5,11,19,0,41,0,0,17
1598795,10.0,3.0,4.1,3.646916505762094,5,33943,2,3,0,0,0,0,0,5
1598796,1390.9,377.63,467.64102272727274,382.0757209541326,88,28452,2,10,12,0,48,6,0,22
1598797,1472.0,1472.0,1472.0,,1,39688,2,5,0,0,1,0,0,0
1598798,375.0,225.0,256.25,82.60094833999587,4,40213,2,3,0,0,4,0,0,0
1598799,950.0,185.0,342.5,411.6126820203673,4,37353,2,4,0,0,4,0,0,0
1598800,600.0,117.5,273.125,272.8937195005725,8,41161,2,6,0,0,8,0,0,0
1598801,3000.0,500.0,857.6190476190476,973.4059007521208,21,31837,3,1,2,0,19,0,0,0
1598802,90.0,4.875,22.291666666666668,34.85413055387649,6,34982,2,3,0,0,1,0,0,5
1598803,625.06,138.0,205.612,245.24861410413718,5,31028,3,6,0,0,5,0,0,0
1598804,5649.0,150.0,296.6115662650602,659.2529718487577,83,23494,2,10,11,0,52,6,0,14
1598805,9000.0,746.0,1109.8955555555558,2031.4899876929574,18,35004,2,8,0,0,9,4,0,5
1598806,3000.0,300.0,1022.9866666666666,1053.5425627851967,9,33999,2,10,0,0,9,0,0,0
1598807,425.0,425.0,425.0,,1,40847,2,5,0,0,1,0,0,0
1598808,2870.0,520.0,1148.9966666666667,1508.3049824333716,3,31671,6,11,2,0,0,0,0,1
1598809,1225.0,1225.0,1225.0,,1,42196,4,9,0,0,1,0,0,0
1598810,500.0,309.25,309.25,269.7612370226679,2,34905,3,6,0,0,2,0,0,0
1598811,50.5,50.5,50.5,,1,35261,6,12,0,0,1,0,0,0
1598812,1700.5,1700.25,1700.25,0.3535533905932738,2,33313,3,10,0,0,2,0,0,0
1598813,500.0,497.0,410.6666666666667,152.13919065557477,3,30518,3,5,0,0,3,0,0,0
1598814,495.0,495.0,495.0,,1,34677,3,7,0,0,1,0,0,0
1598815,1070.5,1070.5,1070.5,,1,38215,5,11,0,0,1,0,0,0
1598816,620.0,620.0,620.0,,1,35775,3,7,0,0,1,0,0,0
1598817,997.5,300.0,333.8,394.060686950627,5,50687,4,5,0,0,4,0,0,1
1598818,880.0,300.0,332.4074074074074,233.8612769701236,27,34577,4,5,0,0,0,0,0,27
1598819,4000.0,800.0,1640.1285714285714,1614.3683124412119,7,32462,2,8,0,0,7,0,0,0
1598820,797.0,797.0,797.0,,1,52989,2,5,0,0,1,0,0,0
1598821,950.0,850.0,850.0,141.4213562373095,2,41823,4,7,0,0,2,0,0,0
1598822,61.0,61.0,61.0,,1,46779,7,11,0,0,0,0,0,1
1598823,500.0,150.0,177.15555555555557,98.09406884941788,45,26308,5,10,1,0,44,0,0,0
1598824,200.0,120.0,120.0,113.13708498984761,2,29745,2,2,0,0,2,0,0,0
1598825,7000.0,10.0,158.53825581395347,768.2141543563179,86,42704,6,8,0,0,20,0,0,66
1598826,699.5,699.5,699.5,,1,42945,2,11,0,0,1,0,0,0
1598827,2497.5,1448.75,1448.75,1483.1564735387835,2,37181,2,5,0,0,2,0,0,0
1598828,2000.0,2000.0,2000.0,,1,37715,4,7,0,0,1,0,0,0
1598829,300.5,300.0,260.3,54.81856437375938,5,38123,3,8,0,0,5,0,0,0
1598830,896.0,896.0,896.0,,1,57501,2,4,0,0,1,0,0,0
1598831,301.0,301.0,301.0,,1,61819,2,6,0,0,1,0,0,0
1598832,197.5,197.5,197.5,,1,35773,6,11,0,0,1,0,0,0
1598833,445.0,150.0,223.9,186.14792504887075,5,36707,6,11,0,0,5,0,0,0
1598834,1004.5,448.5,449.85714285714283,351.16018594151046,7,33501,5,5,0,0,7,0,0,0
1598835,600.0,600.0,600.0,,1,58292,2,7,0,0,1,0,0,0
1598836,300.0,260.5,253.5,50.36615927386165,3,54958,2,6,0,0,3,0,0,0
1598837,1476.0,498.5,791.5,594.8367423083413,3,38238,4,4,0,0,3,0,0,0
1598838,410.0,75.0,147.5,177.45891543302824,4,21840,4,9,0,0,3,0,0,1
1598839,1000.0,650.0,650.0,494.9747468305833,2,32243,3,6,0,0,2,0,0,0
1598840,995.0,995.0,995.0,,1,60894,4,7,0,0,1,0,0,0
1598841,1000.0,950.0,950.0,70.71067811865476,2,51857,3,9,0,0,2,0,0,0
1598842,3001.0,1992.75,1992.75,1425.880824262673,2,51371,3,6,0,0,2,0,0,0
1598843,598.0,598.0,598.0,,1,47090,6,5,0,0,1,0,0,0
1598844,4869.5,500.5,1492.75,2272.335160871594,4,35133,5,4,0,0,4,0,0,0
1598845,1072.0,1072.0,1072.0,0.0,2,33772,3,5,0,0,2,0,0,0
1598846,795.0,795.0,795.0,,1,55455,5,5,0,0,1,0,0,0
1598847,975.0,975.0,975.0,,1,38406,6,8,0,0,1,0,0,0
1598848,527.5,527.5,527.5,,1,31639,6,5,0,0,1,0,0,0
1598849,690.0,690.0,690.0,,1,44291,3,5,0,0,1,0,0,0
1598850,318.5,280.0,266.1666666666667,60.4490143288816,3,50062,4,5,0,0,3,0,0,0
1598851,1974.0,599.5,759.5263157894736,574.8689820221891,19,31735,5,8,0,0,17,0,0,2
1598852,1972.5,598.5,1021.1666666666666,825.5818150452039,3,38692,4,4,0,0,3,0,0,0
1598853,900.0,140.0,314.2,340.23256751816103,5,32561,3,8,0,0,4,0,0,1
1598854,1500.0,1500.0,1500.0,,1,55949,3,9,0,0,1,0,0,0
1598855,1100.0,610.0,610.0,692.9646455628166,2,53405,5,8,0,0,2,0,0,0
1598856,1170.0,790.0,734.1,412.79116996369964,5,33591,4,5,0,0,5,0,0,0
1598857,4997.0,4997.0,4997.0,,1,30286,4,5,0,0,1,0,0,0
1598858,290.0,290.0,290.0,,1,37061,3,6,0,0,1,0,0,0
1598859,490.0,400.0,422.5,45.0,4,37307,2,5,0,0,4,0,0,0
1598860,378.5,378.5,378.5,,1,38476,3,6,0,0,1,0,0,0
1598861,1972.5,580.25,856.0,790.4415432739687,4,31981,2,5,0,0,4,0,0,0
1598862,758.0,758.0,758.0,,1,43835,2,6,0,0,1,0,0,0
